t_s,mem_available_kb,mem_total_kb,matching_rss_kb,n_matching,detail
1159.1,6146696,8216168,1480880,3,"6459:10732kB;6462:474268kB;6463:995880kB"
1164.1,6148872,8216168,1480880,3,"6459:10732kB;6462:474268kB;6463:995880kB"
1169.1,6148872,8216168,1480880,3,"6459:10732kB;6462:474268kB;6463:995880kB"
1174.1,6148872,8216168,1480880,3,"6459:10732kB;6462:474268kB;6463:995880kB"
1179.1,6148872,8216168,1480880,3,"6459:10732kB;6462:474268kB;6463:995880kB"
1184.2,6148872,8216168,1480884,3,"6459:10736kB;6462:474268kB;6463:995880kB"
1189.2,6148872,8216168,1480884,3,"6459:10736kB;6462:474268kB;6463:995880kB"
1194.2,6148176,8216168,1480884,3,"6459:10736kB;6462:474268kB;6463:995880kB"
1199.2,6148116,8216168,1480884,3,"6459:10736kB;6462:474268kB;6463:995880kB"
1204.2,6148116,8216168,1480884,3,"6459:10736kB;6462:474268kB;6463:995880kB"
1209.2,6148116,8216168,1480884,3,"6459:10736kB;6462:474268kB;6463:995880kB"
1214.2,6148116,8216168,1480884,3,"6459:10736kB;6462:474268kB;6463:995880kB"
1219.2,6148464,8216168,1480884,3,"6459:10736kB;6462:474268kB;6463:995880kB"
1224.3,6148696,8216168,1480884,3,"6459:10736kB;6462:474268kB;6463:995880kB"
1229.3,6148716,8216168,1480884,3,"6459:10736kB;6462:474268kB;6463:995880kB"
1234.3,6148716,8216168,1480884,3,"6459:10736kB;6462:474268kB;6463:995880kB"
1239.3,6148716,8216168,1480884,3,"6459:10736kB;6462:474268kB;6463:995880kB"
1244.3,6148716,8216168,1480884,3,"6459:10736kB;6462:474268kB;6463:995880kB"
1249.3,6148716,8216168,1480884,3,"6459:10736kB;6462:474268kB;6463:995880kB"
1254.3,6148716,8216168,1480884,3,"6459:10736kB;6462:474268kB;6463:995880kB"
1259.3,6148716,8216168,1480884,3,"6459:10736kB;6462:474268kB;6463:995880kB"
1264.4,6148716,8216168,1480884,3,"6459:10736kB;6462:474268kB;6463:995880kB"
1269.4,6148716,8216168,1480884,3,"6459:10736kB;6462:474268kB;6463:995880kB"
1274.4,6148716,8216168,1480884,3,"6459:10736kB;6462:474268kB;6463:995880kB"
1279.4,6148716,8216168,1480884,3,"6459:10736kB;6462:474268kB;6463:995880kB"
1284.4,6148716,8216168,1480884,3,"6459:10736kB;6462:474268kB;6463:995880kB"
1289.4,6148716,8216168,1480884,3,"6459:10736kB;6462:474268kB;6463:995880kB"
1294.4,6148716,8216168,1480884,3,"6459:10736kB;6462:474268kB;6463:995880kB"
1299.4,6148716,8216168,1480884,3,"6459:10736kB;6462:474268kB;6463:995880kB"
1304.5,6148716,8216168,1480884,3,"6459:10736kB;6462:474268kB;6463:995880kB"
1309.5,6148716,8216168,1480884,3,"6459:10736kB;6462:474268kB;6463:995880kB"
1314.5,6148716,8216168,1480888,3,"6459:10740kB;6462:474268kB;6463:995880kB"
1319.5,6148716,8216168,1480888,3,"6459:10740kB;6462:474268kB;6463:995880kB"
1324.5,6148716,8216168,1480888,3,"6459:10740kB;6462:474268kB;6463:995880kB"
1329.5,6148716,8216168,1480888,3,"6459:10740kB;6462:474268kB;6463:995880kB"
1334.5,6148716,8216168,1480888,3,"6459:10740kB;6462:474268kB;6463:995880kB"
